No,x(mm),y(mm),d(nm)_L1,n_L1,k_L1,Fv1_L1,,,,,
1,0,0,722.55,1.649500,0.000000,0.0015,,,,,
2,0,49,707.27,1.667010,0.000000,-0.0250,,,,,
3,34.648,34.648,710.67,1.662850,0.000000,-0.0187,,,,,
4,49,0,718.19,1.655450,0.000000,-0.0075,,,,,
5,34.648,-34.648,727.86,1.646320,0.000000,0.0063,,,,,
6,0,-49,735.34,1.639890,0.000000,0.0160,,,,,
7,-34.648,-34.648,731.95,1.643600,0.000000,0.0104,,,,,
8,-49,0,724.70,1.652140,0.000000,-0.0025,,,,,
9,-34.648,34.648,713.64,1.662320,0.000000,-0.0179,,,,,
10,0,98,686.06,1.689630,0.000000,-0.0594,,,,,
11,37.502,90.54,683.30,1.689300,0.000000,-0.0589,,,,,
12,69.296,69.297,687.60,1.684110,0.000000,-0.0510,,,,,
13,90.54,37.503,696.97,1.677150,0.000000,-0.0404,,,,,
14,98,0,709.17,1.667270,0.000000,-0.0254,,,,,
15,90.54,-37.503,721.18,1.656640,0.000000,-0.0093,,,,,
16,69.297,-69.296,731.33,1.646780,0.000000,0.0056,,,,,
17,37.502,-90.54,738.95,1.639360,0.000000,0.0168,,,,,
18,0,-98,744.75,1.634770,0.000000,0.0237,,,,,
19,-37.502,-90.54,745.51,1.635240,0.000000,0.0230,,,,,
20,-69.296,-69.297,741.64,1.640750,0.000000,0.0147,,,,,
21,-90.54,-37.503,734.16,1.649430,0.000000,0.0016,,,,,
22,-98.001,0,723.22,1.660080,0.000000,-0.0145,,,,,
23,-90.54,37.503,713.70,1.669450,0.000000,-0.0287,,,,,
24,-69.297,69.296,703.01,1.679120,0.000000,-0.0434,,,,,
25,-37.502,90.54,694.15,1.685950,0.000000,-0.0538,,,,,
26,0,147,594.79,1.711140,0.000000,-0.0923,,,,,
27,38.05,141.99,595.77,1.710620,0.000000,-0.0915,,,,,
28,73.5,127.31,595.24,1.712310,0.000000,-0.0941,,,,,
29,103.95,103.95,600.32,1.706250,0.000000,-0.0848,,,,,
30,127.31,73.5,604.42,1.697950,0.000000,-0.0721,,,,,
31,141.99,38.05,607.76,1.687590,0.000000,-0.0563,,,,,
32,147,0,614.15,1.675040,0.000000,-0.0372,,,,,
33,141.99,-38.05,623.58,1.662260,0.000000,-0.0178,,,,,
34,127.31,-73.5,637.55,1.650290,0.000000,0.0003,,,,,
35,103.95,-103.94,650.84,1.641150,0.000000,0.0141,,,,,
36,73.5,-127.31,664.80,1.633050,0.000000,0.0263,,,,,
37,38.05,-141.99,675.48,1.628390,0.000000,0.0333,,,,,
38,14.09,-146.32,681.76,1.626800,0.000000,0.0357,,,,,
39,-38.05,-141.99,685.77,1.629260,0.000000,0.0320,,,,,
40,-73.5,-127.31,684.12,1.635640,0.000000,0.0224,,,,,
41,-103.94,-103.95,676.63,1.643340,0.000000,0.0108,,,,,
42,-127.31,-73.5,667.06,1.648370,0.000000,0.0032,,,,,
43,-141.99,-38.05,657.37,1.655720,0.000000,-0.0079,,,,,
44,-147,0,645.84,1.665690,0.000000,-0.0230,,,,,
45,-141.99,38.05,632.71,1.675900,0.000000,-0.0385,,,,,
46,-127.31,73.5,620.92,1.686480,0.000000,-0.0546,,,,,
47,-103.95,103.94,610.85,1.695590,0.000000,-0.0685,,,,,
48,-73.5,127.31,602.76,1.702330,0.000000,-0.0788,,,,,
49,-38.05,141.99,597.40,1.707620,0.000000,-0.0869,,,,,
Avg,-,-,677.04,1.664753,0.000000,-0.0217,,,,,
Std,-,-,49.11,0.024822,0.000000,0.0377,,,,,
Max,,,745.51000,1.71231,0.00000,0.03570,0.00000,0.00000,0.00000,0.00000,
Min,,,594.79000,1.62680,0.00000,-0.09410,0.00000,0.00000,0.00000,0.00000,
Ran,,,150.72000,0.08551,0.00000,0.12980,0.00000,0.00000,0.00000,0.00000,
